Key,File,Type,UsedInMainMenu,NoTranslate,english
buffRelicFlashStrikeDesc,buffs,Buff,,,Initiating an attack grants 300% Movement Speed which decays over time.
buffRelicFlashStrikeProcName,buffs,Buff,,,Relic: Flash Strike Proc
buffRelicFlashStrikeProcDesc,buffs,Buff,,,300% Movement Speed decaying over time.
buffRelicFlashStrikeCDName,buffs,Buff,,,Relic: Flash Strike Cooldown
buffRelicFlashStrikeCDDesc,buffs,Buff,,,Flash Strike is recharging


modRelicShadowStrike,item_modifiers,Mod,,,"Relic: Shadow Strike"
relicShadowStrikeBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+20% Sneak Damage per 20 Player Levels\n(Effect limit is +100%)\nKilling an enemy grants Full Stealth for 2 seconds.\n6 Second Cooldown."
buffRelicShadowStrikeName,buffs,Buff,,,Relic: Shadow Strike
buffRelicShadowStrikeDesc,buffs,Buff,,,Killing an enemy grants Full Stealth for 2 seconds.
buffRelicShadowStrikeProcName,buffs,Buff,,,Relic: Shadow Strike Proc
buffRelicShadowStrikeProcDesc,buffs,Buff,,,Full Stealth is active and you're Invisible to enemies (Non-player). Attacking will break this effect.
buffRelicShadowStrikeCDName,buffs,Buff,,,Relic: Shadow Strike Cooldown
buffRelicShadowStrikeCDDesc,buffs,Buff,,,Shadow Strike is recharging


modRelicDivineStrike,item_modifiers,Mod,,,"Relic: Divine Strike"
relicDivineStrikeBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nWhen hitting an enemy, applies a high damage Ignite which lasts 2 seconds.\nApplies only if target isnt already afflicted with the Ignite."
buffRelicDivineStrikeName,buffs,Buff,,,Relic: Divine Strike
buffRelicDivineStrikeDesc,buffs,Buff,,,When hitting an enemy afflict a high damage Ignite which lasts 2 seconds.\nApplies only if target isnt already afflicted with the Ignite.
buffRelicDivineStrikeProcName,buffs,Buff,,,Relic: Divine Strike Ignite
buffRelicDivineStrikeProcDesc,buffs,Buff,,,Taking Burning Damage over Time from Divine Strike 


modRelicLethalStrike,item_modifiers,Mod,,,"Relic: Lethal Strike"
relicLethalStrikeBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+75% Damage while below 25% Health.\n+50% Damage while below 50% Health.\n+25% Damage while below 75% Health."
buffRelicLethalStrikeName,buffs,Buff,,,Relic: Lethal Strike
buffRelicLethalStrikeDesc,buffs,Buff,,,Increased damage while at certain health thresholds


modRelicMechaCommand,item_modifiers,Mod,,,"Relic: Mecha Command"
relicMechaCommandBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+1 Robotic Summon Limit per 50 Player Levels.\n(Effect limit is +4)"
buffRelicMechaCommandName,buffs,Buff,,,Relic: Mecha Command
buffRelicMechaCommandDesc,buffs,Buff,,,Increase Active Robotic Count while at certain Player Levels thresholds


modRelicMechaGiga,item_modifiers,Mod,,,"Relic: Mecha Giga"
relicMechaGigaBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+10% Attack Speed with Robotics per 20 Player Levels.\n(Effect limit is +100%)"
buffRelicMechaGigaName,buffs,Buff,,,Relic: Mecha Giga
buffRelicMechaGigaDesc,buffs,Buff,,,Increase Robotic Attack Speed while at certain Player Levels thresholds


modRelicMechaBeacon,item_modifiers,Mod,,,"Relic: Mecha Beacon"
relicMechaBeaconBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+2 Robotic Activation Range per 10 Player Levels.\n(Effect limit is +20)"
buffRelicMechaBeaconName,buffs,Buff,,,Relic: Mecha Beacon
buffRelicMechaBeaconDesc,buffs,Buff,,,Increase Robotic Activation Range while at certain Player Levels thresholds


modRelicMechanomicon,item_modifiers,Mod,,,"Relic: Mechanomicon"
relicMechanomiconBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+25% Robotic Sledge Damage per 25 Player Levels.\n(Effect up to +100%)\n+25 Robotic Turret Magazine Capacity per 25 Player Levels.\n(Effect up to +100)"
buffRelicMechanomiconName,buffs,Buff,,,Relic: Mechanomicon
buffRelicMechanomiconDesc,buffs,Buff,,,Grants Robotic Benefits while at certain Player Levels thresholds


modRelicMendingStone,item_modifiers,Mod,,,"Relic: Mending Stone"
relicMendingStoneBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nWhen hit by an Enemy:\nRecover 5 to 15 Health.\nRecover 15 to 30 Stamina.\n20 Second Cooldown."
buffRelicMendingStoneName,buffs,Buff,,,Relic: Mending Stone
buffRelicMendingStoneDesc,buffs,Buff,,,When hit by an enemy, recover Health and Stamina
buffRelicMendingStoneProcName,buffs,Buff,,,Relic: Mending Stone Proc
buffRelicMendingStoneProcDesc,buffs,Buff,,,Recovering Health and Stamina
buffRelicMendingStoneCDName,buffs,Buff,,,Relic: Mending Stone Cooldown
buffRelicMendingStoneCDDesc,buffs,Buff,,,Mending Stone is recharging


modRelicSkeletalSteel,item_modifiers,Mod,,,"Relic: Skeletal Steel"
relicSkeletalSteelBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+1% Damage Mitigation per 10 Player Levels.\n(Effect limit is +10%)"
buffRelicSkeletalSteelName,buffs,Buff,,,Relic: Skeletal Steel
buffRelicSkeletalSteelDesc,buffs,Buff,,,Increase Damage Mitigation while at certain Player Levels thresholds


modRelicBloodSacrifice,item_modifiers,Mod,,,"Relic: Blood Sacrifice"
relicBloodSacrificeBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nHitting an Enemy with Melee or Archery grants a Blood Charge.\nBlood Charge grants +50% Melee and Archery Damage.\nLoose Health equal to the number of Blood Charges you have when you gain a Blood Charge.\nWhen you have 3 Blood Charges loose all Blood Charges when Hitting an Enemy."
buffRelicEquippedBloodSacrificeName,buffs,Buff,,,Relic: Blood Sacrifice
buffRelicEquippedBloodSacrificeDesc,buffs,Buff,,,Increase Damage Mitigation while at certain Player Levels thresholds


modRelicForgeBadge,item_modifiers,Mod,,,"Relic: Forge Badge"
relicForgeBadgeBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+15% Faster Crafting.\n+10% Salvage Harvest Quantity per 20 Player Levels.\n(Effect up to +100%)"
buffRelicEquippedForgeBadgeName,buffs,Buff,,,Relic: Forge Badge
buffRelicEquippedForgeBadgeDesc,buffs,Buff,,,Faster Crafting and More Salvage Harvest Quantity


modRelicAnomolicOre,item_modifiers,Mod,,,"Relic: Anomolic Ore"
relicAnomolicOreBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+5% Chance to One-Shot ore.\n+10% Ore Harvest Quantity per 20 Player Levels.\n(Effect up to +100%)"
buffRelicEquippedAnomolicOreName,buffs,Buff,,,Relic: Anomolic Ore
buffRelicEquippedAnomolicOreDesc,buffs,Buff,,,Chance to One-Shot Ore and More Ore Harvest Quantity


modRelicFragileFragment,item_modifiers,Mod,,,"Relic: Fragile Fragment"
relicFragileFragmentBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nGrants +100% Damage Mitigation when hit by an enemy.\nEffect lasts 3 seconds.\n20 Second Cooldown."
buffRelicFragileFragmentName,buffs,Buff,,,Relic: Fragile Fragment
buffRelicFragileFragmentDesc,buffs,Buff,,,When hit by an enemy, grants Damage Mitigation
buffRelicFragileFragmentProcName,buffs,Buff,,,Relic: Fragile Fragment Proc
buffRelicFragileFragmentProcDesc,buffs,Buff,,,Grants Damage Mitigation
buffRelicFragileFragmentCDName,buffs,Buff,,,Relic: Fragile Fragment Cooldown
buffRelicFragileFragmentCDDesc,buffs,Buff,,,Fragile Fragment is recharging


modRelicBBSwiftness,item_modifiers,Mod,,,"Relic: Battle Badge of Swiftness"
relicBBSwiftnessBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nHitting an Enemy with a Power Attack grants +150% Attack Speed for 4 seconds.\n(16 Second Cooldown)"
buffRelicBBSwiftnessName,buffs,Buff,,,Relic: Battle Badge of Swiftness
buffRelicBBSwiftnessDesc,buffs,Buff,,,Grants Attack Speed on hitting an enemy with a Power Attack
buffRelicBBSwiftnessProcName,buffs,Buff,,,Relic: Battle Badge of Swiftness Proc
buffRelicBBSwiftnessProcDesc,buffs,Buff,,,Grants Attack Speed
buffRelicBBSwiftnessCDName,buffs,Buff,,,Relic: Battle Badge of Swiftness Cooldown
buffRelicBBSwiftnessCDDesc,buffs,Buff,,,Battle Badge of Swiftness is recharging


modRelicBBForce,item_modifiers,Mod,,,"Relic: Battle Badge of Force"
relicBBForceBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nHitting an Enemy with a Power Attack will Knockdown nearby Enemies.\n(16 Second Cooldown)"
buffRelicBBForceName,buffs,Buff,,,Relic: Battle Badge of Force
buffRelicBBForceDesc,buffs,Buff,,, Knockdown nearby Enemies with a Power Attack
buffRelicBBForceCDName,buffs,Buff,,,Relic: Battle Badge of Force Cooldown
buffRelicBBForceCDDesc,buffs,Buff,,,Battle Badge of Force is recharging


modRelicBBBlood,item_modifiers,Mod,,,"Relic: Battle Badge of Blood"
relicBBBloodBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nHitting an Enemy with a Power Attack applies a Lethal Bleed to nearby Enemies.\n(16 Second Cooldown)"
buffRelicBBBloodLethalBleedName,buffs,Buff,,,Lethal Bleeding
buffRelicBBBloodLethalBleedDesc,buffs,Buff,,, Large health loss over time
buffRelicBBBloodCDName,buffs,Buff,,,Relic: Battle Badge of Blood Cooldown
buffRelicBBBloodCDDesc,buffs,Buff,,,Battle Badge of Blood is recharging


modRelicBBWar,item_modifiers,Mod,,,"Relic: Battle Badge of War"
relicBBWarBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+25% Damage\n+10% Attack Speed and Movement Speed\n+5% Damage Mitigation"
buffRelicEquippedBBWarName,buffs,Buff,,,Relic: Battle Badge of War
buffRelicEquippedBBWarDesc,buffs,Buff,,,Grants boosts to different stats


modRelicBBHunt,item_modifiers,Mod,,,"Relic: Battle Badge of Hunt"
relicBBHuntBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+20% Arrow Stick Chance\nHitting an Enemy with Archery will grant +150% Archery Attack Speed for 4 seconds.\n(16 Second Cooldown)"
buffRelicBBHuntName,buffs,Buff,,,Relic: Battle Badge of Hunt
buffRelicBBHuntDesc,buffs,Buff,,,Grants Projectile Stick Chance and grants Archery Attack Speed on hitting an enemy with an Archery Attack
buffRelicBBHuntProcName,buffs,Buff,,,Relic: Battle Badge of Hunt Proc
buffRelicBBHuntProcDesc,buffs,Buff,,,Grants Archery Attack Speed
buffRelicBBHuntCDName,buffs,Buff,,,Relic: Battle Badge of Hunt Cooldown
buffRelicBBHuntCDDesc,buffs,Buff,,,Battle Badge of Hunt is recharging



modRelicFlaskOfLife,item_modifiers,Mod,,,"Relic: Flask Of Life"
relicFlaskOfLifeBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nRecover 25 Health on reaching 25% or less Health.\n(15 Second Cooldown)"
buffRelicEquippedFlaskOfLifeCDName,buffs,Buff,,,Relic: Flask Of Life Cooldown
buffRelicEquippedFlaskOfLifeCDDesc,buffs,Buff,,,Flask Of Life is recharging

modRelicFlaskOfStamina,item_modifiers,Mod,,,"Relic: Flask Of Stamina"
relicFlaskOfStaminaBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nRecover 50 Stamina on reaching 25% or less Stamina.\n(15 Second Cooldown)"
buffRelicEquippedFlaskOfStaminaCDName,buffs,Buff,,,Relic: Flask Of Stamina Cooldown
buffRelicEquippedFlaskOfStaminaCDDesc,buffs,Buff,,,Flask Of Stamina is recharging


modRelicSunderCharm,item_modifiers,Mod,,,"Relic: Sunder Charm"
relicSunderCharmBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nHitting an Enemy applies a stacking debuff that applies -20% Physical Damage Resist.\n(Stack limit is 10)"
buffRelicSunderEffectName,buffs,Buff,,,Sundered
buffRelicSunderEffectDesc,buffs,Buff,,,Reduced Physical Resistance


modRelicTravelerCharm,item_modifiers,Mod,,,"Relic: Traveler Charm"
relicTravelerCharmBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+20% Looting Speed\n+1 Carry Capacity per 10 Player Levels.\n(Effect up to +10)"

modRelicCharredCharm,item_modifiers,Mod,,,"Relic: Charred Charm"
relicCharredCharmBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nHitting an enemy with Melee or Archery will extend the duration of Burning effects."


modRelicZenith,item_modifiers,Mod,,,"Relic: Zenith"
relicZenithBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+1 All Attributes.\n+10% EXP Gained.\n+1% EXP Gained per 10 Player Levels.\n(Effect up to +10%)"


modRelicExquisiteStone,item_modifiers,Mod,,,"Relic: Exquisite Stone"
relicExquisiteStoneBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nGrants Immunity to Stun Effects.\n+1 Health Regen per Second.\n+25% Stamina Regen."


modRelicPredator,item_modifiers,Mod,,,"Relic: Predator"
relicPredatorBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nGrants effects per 20 Player Levels up to Player Level 100:\n+10% Projectile Velocity\n+5% Arrow Stick Chance\n+20% Sneak Damage"


modRelicMasterKey,item_modifiers,Mod,,,"Relic: Master Key"
relicMasterKeyBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+5% Chance to Prevent Lockpick Break per 10 Player Levels.\n+5% Lockpicking Speed per 10 Player Levels.\n(Effect up to 100%)"


modRelicMechaOverdrive,item_modifiers,Mod,,,"Relic: Mecha Overdrive"
relicMechaOverdriveBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+50% Robotic Attack Speed for 4 Seconds.\nPower Attack Triggers this effect.\n20 Second Cooldown."
buffRelicEquippedMechaOverdriveEffectName,buffs,Buff,,,Relic: Mecha Overdrive Proc
buffRelicEquippedMechaOverdriveEffectDesc,buffs,Buff,,,Increased Robotic Attack Speed
buffRelicEquippedMechaOverdriveCDName,buffs,Buff,,,Relic: Mecha Overdrive Cooldown
buffRelicEquippedMechaOverdriveCDDesc,buffs,Buff,,,Mecha Overdrive is recharging.


modRelicCrepitus,item_modifiers,Mod,,,"Relic: Crepitus"
relicCrepitusBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+10% Explosion Damage per 10 Player Levels.\n(Effect up to +100%)"


modRelicContinentiam,item_modifiers,Mod,,,"Relic: Continentiam"
relicContinentiamBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+5% Damage Mitigation while below 75% Health\n+5% Damage Mitigation while below 50% Health\n+5% Damage Mitigation while below 25% Health"


modRelicUPOE,item_modifiers,Mod,,,"Relic: Untainted Pair of Eyes"
relicUPEBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nGrants effects per 25 Player Levels up to Player Level 200:\n+10% Damage\n+5% Attack Speed\n+2% Movement Speed\n+1% Damage Mitigation"


modRelicPurifier,item_modifiers,Mod,,,"Relic: Purifier"
relicPurifierBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nHitting an enemy prevents Radiated Regen."


modRelicGraspingHeart,item_modifiers,Mod,,,"Relic: Grasping Heart"
relicGraspingHeartBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+15% Damage with Brawling per 10 Player Levels.\n(Effect up to +150%)\n+3% Attack Speed with Brawling per 10 Player Levels.\n(Effect up to + 30%)"


modRelicCorruption,item_modifiers,Mod,,,"Relic: Corruption"
relicCorruptionBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nTracks Zombies."
buffRelicCorruptionTrackName,buffs,Buff,,,Relic: Corruption Tracking
buffRelicCorruptionTrackDesc,buffs,Buff,,,Tracks Zombies


modRelicIgnitious,item_modifiers,Mod,,,"Relic: Ignitious"
relicIgnitiousBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nRegular Hit: 25% chance for Effect. Ignores Cooldown.\nPower Attack Hit: 100% chance for Effect.\nCauses nearby enemies to become Ignited for 4 seconds.\n(12 Second Cooldown)"
buffRelicEquippedIgnitiousCDName,buffs,Buff,,,Relic: Ignitious Cooldown
buffRelicEquippedIgnitiousCDDesc,buffs,Buff,,,Ignitious is recharging.
buffRelicIgnitiousDoTName,buffs,Buff,,,Relic: Ignitious Ignite
buffRelicIgnitiousDoTDesc,buffs,Buff,,,Taking Burning Damage over Time from Ignitious.

modRelicFrigus,item_modifiers,Mod,,,"Relic: Frigus"
relicFrigusBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nRegular Hit: 25% chance for Effect. Ignores Cooldown.\nPower Attack Hit: 100% chance for Effect.\nCauses nearby enemies to become Chilled for 3 seconds.\n(12 Second Cooldown)"
buffRelicEquippedFrigusCDName,buffs,Buff,,,Relic: Frigus Cooldown
buffRelicEquippedFrigusCDDesc,buffs,Buff,,,Frigus is recharging.
buffRelicFrigusEffectName,buffs,Buff,,,Relic: Frigus Chilled
buffRelicFrigusEffectDesc,buffs,Buff,,,Slowed Movement and Attack Speed.

modRelicFulgor,item_modifiers,Mod,,,"Relic: Fulgor"
relicFulgorBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nRegular Hit: 25% chance for Effect. Ignores Cooldown.\nPower Attack Hit: 100% chance for Effect.\nCauses nearby enemies to become Shocked for 2 seconds.\n(12 Second Cooldown)"
buffRelicEquippedFulgorCDName,buffs,Buff,,,Relic: Fulgor Cooldown
buffRelicEquippedFulgorCDDesc,buffs,Buff,,,Fulgor is recharging.
